brand,model,top_speed_kmh,battery_capacity_kWh,efficiency_wh_per_km,range_km,acceleration_0_100_s,fast_charging_power_kw_dc,fast_charge_port,drivetrain,segment,car_body_type
Nissan,Ariya e-4ORCE 87kWh - 320 kW Nismo,200,87,209,385,5,110,CCS,AWD,JC - Medium,SUV
Nissan,Townstar EV Passenger,132,45,158,225,12.6,50,CCS,FWD,N - Passenger Van,Small Passenger Van
Nissan,Townstar EV Passenger L2,130,45,173,220,13.3,50,CCS,FWD,N - Passenger Van,Small Passenger Van
Omoda,E5,172,61,152,345,7.6,60,CCS,FWD,JC - Medium,SUV
Opel,Astra Electric,170,50.8,128,320,9.2,85,CCS,FWD,C - Medium,Hatchback
Opel,Astra Sports Tourer Electric,170,50.8,123,310,9.3,85,CCS,FWD,C - Medium,Station/Estate
Opel,Combo-e Life 50 kWh,135,50,149,235,11.3,80,CCS,FWD,N - Passenger Van,Small Passenger Van
Opel,Combo-e Life XL 50 kWh,135,50,149,230,11.3,80,CCS,FWD,N - Passenger Van,Small Passenger Van
Opel,Corsa Electric 50 kWh,150,46.3,131,290,8.7,78,CCS,FWD,B - Compact,Hatchback
Opel,Corsa Electric 51 kWh,150,48.1,120,315,8.1,80,CCS,FWD,B - Compact,Hatchback
Opel,Frontera 44 kWh,140,44,144,245,12.1,60,CCS,FWD,JB - Compact,SUV
Opel,Grandland 73 kWh,170,73,145,365,9,90,CCS,FWD,JC - Medium,SUV
Opel,Grandland 82 kWh,170,82.2,146,410,9,100,CCS,FWD,JC - Medium,SUV
Opel,Mokka Electric,150,50.8,126,285,9,85,CCS,FWD,JB - Compact,SUV
Opel,Zafira-e Life L2 50 kWh,130,46.3,217,180,13.3,78,CCS,FWD,N - Passenger Van,Small Passenger Van
Opel,Zafira-e Life L2 75 kWh,130,68,202,260,14.2,79,CCS,FWD,N - Passenger Van,Small Passenger Van
Opel,Zafira-e Life L3 50 kWh,130,46.3,219,180,13.3,78,CCS,FWD,N - Passenger Van,Small Passenger Van
Opel,Zafira-e Life L3 75 kWh,130,68,204,260,14.2,79,CCS,FWD,N - Passenger Van,Small Passenger Van
Peugeot,e-2008 50 kWh,150,46.3,136,270,9.9,78,CCS,FWD,JB - Compact,SUV
Peugeot,e-2008 54 kWh,150,50.8,125,300,9.1,85,CCS,FWD,JB - Compact,SUV
Peugeot,e-208 50 kWh,150,46.3,132,290,9,78,CCS,FWD,B - Compact,Hatchback
Peugeot,e-208 51 kWh,150,48.1,120,310,8.2,80,CCS,FWD,B - Compact,Hatchback
Peugeot,e-3008 73 kWh,170,73,143,380,8.8,90,CCS,FWD,JC - Medium,SUV
Peugeot,e-3008 73 kWh Dual Motor,170,73,195,375,6.4,90,CCS,AWD,JC - Medium,SUV
Peugeot,e-3008 97 kWh Long Range,170,96.9,145,500,8.7,135,CCS,FWD,JC - Medium,SUV
Peugeot,e-308,170,50.8,124,300,9.8,80,CCS,FWD,C - Medium,Hatchback
Peugeot,e-308 SW,150,50.8,127,300,10,80,CCS,FWD,C - Medium,Station/Estate
Peugeot,e-408 58 kWh,160,58.3,129,375,7.2,70,CCS,FWD,JD - Large,SUV
Peugeot,e-5008 73 kWh,170,73,150,370,9.7,90,CCS,FWD,JD - Large,SUV
Peugeot,e-5008 73 kWh Dual Motor,170,73,203,360,7,90,CCS,AWD,JD - Large,SUV
Peugeot,e-5008 97 kWh Long Range,170,96.9,152,485,9.6,135,CCS,FWD,JD - Large,SUV
Peugeot,e-Rifter M 50 kWh,132,50,152,235,11.7,80,CCS,FWD,N - Passenger Van,Small Passenger Van
Peugeot,e-Rifter XL 50 kWh,132,50,153,230,11.7,80,CCS,FWD,N - Passenger Van,Small Passenger Van
Peugeot,e-Traveller L2 50 kWh,130,46.3,217,180,13.3,78,CCS,FWD,N - Passenger Van,Small Passenger Van
Peugeot,e-Traveller L2 75 kWh,130,68,202,260,14.2,79,CCS,FWD,N - Passenger Van,Small Passenger Van
Peugeot,e-Traveller L3 50 kWh,130,46.3,219,180,13.3,78,CCS,FWD,N - Passenger Van,Small Passenger Van
Peugeot,e-Traveller L3 75 kWh,130,68,204,260,14.2,79,CCS,FWD,N - Passenger Van,Small Passenger Van
Polestar,2 Long Range Dual Motor (MY26),205,79,142,455,4.5,125,CCS,AWD,D - Large,Liftback Sedan
Polestar,2 Long Range Performance (MY26),205,79,142,450,4.2,125,CCS,AWD,D - Large,Liftback Sedan
Polestar,2 Long Range Single Motor (MY26),205,79,130,475,6.2,125,CCS,RWD,D - Large,Liftback Sedan
Polestar,2 Standard Range Single Motor (MY26),205,67,129,405,6.4,110,CCS,RWD,D - Large,Liftback Sedan
Polestar,3 Long Range Dual motor,210,107,183,515,5,150,CCS,AWD,JE - Executive,SUV
Polestar,3 Long Range Performance,210,107,194,495,4.7,150,CCS,AWD,JE - Executive,SUV
Polestar,3 Long Range Single motor,180,107,166,530,7.8,150,CCS,RWD,JE - Executive,SUV
Polestar,4 Long Range Dual Motor,200,94,165,485,3.8,135,CCS,AWD,E - Executive,Liftback Sedan
Polestar,4 Long Range Single Motor,180,94,157,495,7.4,135,CCS,RWD,E - Executive,Liftback Sedan
Porsche,Macan 4 Electric,220,95,184,470,5.2,200,CCS,AWD,JD - Large,SUV
Porsche,Macan 4S Electric,240,95,186,470,4.1,200,CCS,AWD,JD - Large,SUV
Porsche,Macan Electric,220,95,177,495,5.7,200,CCS,RWD,JD - Large,SUV
Porsche,Macan Turbo Electric,260,95,183,460,3.3,200,CCS,AWD,JD - Large,SUV
Porsche,Taycan,230,82.3,164,495,4.8,195,CCS,RWD,F - Luxury,Sedan
Porsche,Taycan 4,230,82.3,172,490,4.6,195,CCS,AWD,F - Luxury,Sedan
Porsche,Taycan 4 Cross Turismo,220,97,188,510,4.7,281,CCS,AWD,F - Luxury,Station/Estate
Porsche,Taycan 4 Plus,230,97,175,565,4.6,281,CCS,AWD,F - Luxury,Sedan
Porsche,Taycan 4S,250,82.3,174,490,3.7,195,CCS,AWD,F - Luxury,Sedan
Porsche,Taycan 4S Cross Turismo,240,97,188,510,3.8,281,CCS,AWD,F - Luxury,Station/Estate
Porsche,Taycan 4S Plus,250,97,177,565,3.7,281,CCS,AWD,F - Luxury,Sedan
